Country Name,Country Code,Year,Electricity_Consumption_Value,Coal_Percentage_Value,Electricity_Consumption_has_data,Coal_Percentage_has_data
Brazil,BRA,2023,2916.486093973844,1.9899773316977485,1,1
Bulgaria,BGR,1991,4361.14451575101,51.39249180167392,1,1
Bulgaria,BGR,1992,3735.525453609556,50.5925301881494,1,1
Bulgaria,BGR,1993,3807.6969063819997,45.78782535463326,1,1
Bulgaria,BGR,1994,3825.3866157183597,44.968924553536304,1,1
Bulgaria,BGR,1995,4211.1251314080655,42.02302041207016,1,1
Bulgaria,BGR,1996,4350.443259252315,40.72712800824047,1,1
Bulgaria,BGR,1997,3999.365741473722,45.10665140293904,1,1
Bulgaria,BGR,1998,3932.40178442314,44.51343770228477,1,1
Bulgaria,BGR,1999,3613.3672666048283,43.10290734156034,1,1
Bulgaria,BGR,2000,3673.6068714342855,42.0462320398788,1,1
Bulgaria,BGR,2001,3859.090024874075,44.93495269286754,1,1
Bulgaria,BGR,2002,3853.8190041011026,40.70620211345158,1,1
Bulgaria,BGR,2003,3997.902596250936,45.68544600938967,1,1
Bulgaria,BGR,2004,3971.822736190627,45.907114197160084,1,1
Bulgaria,BGR,2005,4165.180392355528,41.981291558661106,1,1
Bulgaria,BGR,2006,4366.912765151844,41.895163929062235,1,1
Bulgaria,BGR,2007,4523.32287831241,51.881192692334345,1,1
Bulgaria,BGR,2008,4674.503150524901,51.55760818882252,1,1
Bulgaria,BGR,2009,4483.747138637505,49.117866120472954,1,1
Bulgaria,BGR,2010,4560.414917033766,48.455619145606924,1,1
Bulgaria,BGR,2011,4863.691441100615,54.20989428509557,1,1
Bulgaria,BGR,2012,4757.121926862279,48.36977206410961,1,1
Bulgaria,BGR,2013,4712.147547382998,44.258815474152684,1,1
Bulgaria,BGR,2014,4809.734035364311,44.86207622657402,1,1
Bulgaria,BGR,2015,4992.250392849601,45.75131533508034,1,1
Bulgaria,BGR,2016,5124.642830671096,42.76596214580711,1,1
Bulgaria,BGR,2017,5387.987420533175,45.851968780145576,1,1
Bulgaria,BGR,2018,5353.9087303775195,39.83816213677221,1,1
Bulgaria,BGR,2019,5395.4176128798445,38.90143644412323,1,1
Bulgaria,BGR,2020,5304.932483510149,33.2041026647691,1,1
Bulgaria,BGR,2021,5560.98450033278,35.91700302724521,1,1
Bulgaria,BGR,2022,5536.49852430675,43.139468108279374,1,1
Bulgaria,BGR,2023,5360.503434680876,29.146689852192274,1,1
Canada,CAN,1991,16207.839380370948,17.3735735547056,1,1
Canada,CAN,1992,16192.7575732967,17.27379824019463,1,1
Canada,CAN,1993,16347.179987257347,15.45654441617699,1,1
Canada,CAN,1994,16413.314412846354,15.57043000125784,1,1
Canada,CAN,1995,16561.867765310388,15.58041284894292,1,1
Canada,CAN,1996,16645.166205800982,15.673570617454246,1,1
Canada,CAN,1997,16677.485027393213,17.305539645870727,1,1
Canada,CAN,1998,16456.944219819266,19.00931368888225,1,1
Canada,CAN,1999,16701.694790148023,18.614811952779483,1,1
Canada,CAN,2000,16844.474614095867,19.39189646045282,1,1
Canada,CAN,2001,16625.782880581468,19.962476484303963,1,1
Canada,CAN,2002,16912.198554561295,19.576593878337608,1,1
Canada,CAN,2003,16920.870977766237,19.0825041466394,1,1
Canada,CAN,2004,16823.82814110746,16.86026375382976,1,1
Canada,CAN,2005,17852.89162221117,16.190827247514296,1,1
Canada,CAN,2006,17468.56493712097,15.265612483762164,1,1
Canada,CAN,2007,17525.890052949802,16.109339291739076,1,1
Canada,CAN,2008,17382.25464216671,14.826389382123292,1,1
Canada,CAN,2009,16317.77799801719,12.933537402454084,1,1
Canada,CAN,2010,16236.475656490453,13.180452610455742,1,1
Canada,CAN,2011,16607.190943556932,11.860959410991521,1,1
Canada,CAN,2012,16119.569981558992,10.18224131361727,1,1
Canada,CAN,2013,16532.14367484249,9.906707657144942,1,1
Canada,CAN,2014,16486.87452351644,10.00356544101471,1,1
Canada,CAN,2015,15839.628945350247,9.425550981970625,1,1
Canada,CAN,2016,15759.605235031744,9.346902524536803,1,1
Canada,CAN,2017,15477.324919978957,9.063231814802695,1,1
Canada,CAN,2018,15569.549710810836,7.669345231320237,1,1
Canada,CAN,2019,15204.063852102536,7.33595880964786,1,1
Canada,CAN,2020,14763.74199885886,5.93046031047298,1,1
Canada,CAN,2021,15003.714448356825,5.321872233663067,1,1
Canada,CAN,2022,14907.077867966387,3.9860122870791312,1,1
Canada,CAN,2023,14459.895751576883,3.7200514374362164,1,1
Central Europe and the Baltics,CEB,1991,3462.5042592085647,58.20466855106422,1,1
Central Europe and the Baltics,CEB,1992,3216.4319617466863,61.559089126459845,1,1
Central Europe and the Baltics,CEB,1993,3146.300858934455,60.63128092638882,1,1
Central Europe and the Baltics,CEB,1994,3172.377233509269,60.438284428066126,1,1
Central Europe and the Baltics,CEB,1995,3299.4719683417297,59.86249875142824,1,1
Central Europe and the Baltics,CEB,1996,3426.23406227165,59.07480416711699,1,1
Central Europe and the Baltics,CEB,1997,3385.927473295524,59.758689717059056,1,1
Central Europe and the Baltics,CEB,1998,3337.34474544377,58.29376276549273,1,1
Central Europe and the Baltics,CEB,1999,3281.706208485198,58.6620922102254,1,1
Central Europe and the Baltics,CEB,2000,3341.7268012680456,60.74862476454656,1,1
Central Europe and the Baltics,CEB,2001,3430.7250542473785,59.2353166429884,1,1
Central Europe and the Baltics,CEB,2002,3454.663988512838,57.49631247677704,1,1
Central Europe and the Baltics,CEB,2003,3588.3234614156468,59.268885666626694,1,1
Central Europe and the Baltics,CEB,2004,3676.6264545189883,57.728755531152096,1,1
Central Europe and the Baltics,CEB,2005,3739.6534658829373,56.86602926962492,1,1
Central Europe and the Baltics,CEB,2006,3888.5255986384586,57.6092810575309,1,1
Central Europe and the Baltics,CEB,2007,3984.58899891276,58.953327268326476,1,1
Central Europe and the Baltics,CEB,2008,4049.994036773607,56.95402419337932,1,1
Central Europe and the Baltics,CEB,2009,3839.9158019083407,55.1895905894723,1,1
Central Europe and the Baltics,CEB,2010,4017.3547872785175,55.19960769642128,1,1
Central Europe and the Baltics,CEB,2011,4096.087741170214,56.96233389033115,1,1
Central Europe and the Baltics,CEB,2012,4091.8702057762353,54.78347665847666,1,1
Central Europe and the Baltics,CEB,2013,4079.875900817748,53.19377750031001,1,1
Central Europe and the Baltics,CEB,2014,4125.765180908632,51.40788208907402,1,1
Central Europe and the Baltics,CEB,2015,4217.555045189588,51.601210908415986,1,1
Central Europe and the Baltics,CEB,2016,4326.760033633018,50.849150849150845,1,1
Central Europe and the Baltics,CEB,2017,4455.707785946424,50.07552948558914,1,1
